Sector,Variable,Coef,P>|t|,R2
XLB,const,0.009151259152187835,0.06992060316208497,-2.220446049250313e-16
XLE,const,0.009318957197686235,0.2429228206305538,-2.220446049250313e-16
XLF,const,0.011733040499016885,0.026806636430629298,1.1102230246251565e-16
XLI,const,0.01170076295234198,0.02018615616964105,0.0
XLK,const,0.017806951746096616,0.0006959724343162434,1.1102230246251565e-16
XLP,const,0.006978877490614215,0.037789324436543134,3.3306690738754696e-16
XLRE,const,0.0067178441729917136,0.1459621256399745,-4.440892098500626e-16
XLU,const,0.009296420792140483,0.02319426028407553,0.0
XLV,const,0.007711321761824598,0.04403337618987565,1.1102230246251565e-16
XLY,const,0.011594097704680865,0.0339556694022854,0.0
